LCLid,Mean_KWH_January,Mean_KWH_February,Mean_KWH_March,Mean_KWH_April,Mean_KWH_May,Mean_KWH_June,Mean_KWH_July,Mean_KWH_August,Mean_KWH_September,Mean_KWH_October,Mean_KWH_November,Mean_KWH_December
MAC000002,0.2418280725990597,0.2838944240148698,0.3224781732034922,0.2517244972241499,0.2042068503022162,0.2082741151977793,0.1822169240429818,0.18136333102753524,0.2232755031922276,0.25409805218267295,0.2846106869535045,0.25316655473472127
MAC000003,0.7187877789791806,0.7993122683271376,0.642258735954301,0.4984441356696738,0.2514603493951612,0.2498091600277585,0.2476158500335795,0.23916521161853593,0.24904371956974322,0.23389590315648087,0.3726780021512838,0.34038683693754196
MAC000004,0.0375876427132303,0.042360594795539,0.0398535930154466,0.0349965301873698,0.033575940860215,0.036002081887578,0.0290624580255204,0.03046474143720618,0.03303261623872311,0.034517797179314975,0.03601318528799445,0.03671188717259906
MAC000006,0.0556474143720617,0.0767977695167286,0.0698817998656816,0.0633199167244968,0.0578723975822699,0.0542789729354614,0.0601007387508394,0.031644728005372734,0.049009715475364334,0.06048018804566824,0.06736294240111033,0.07659368703828073
MAC000007,0.203985224916051,0.1989732142857143,0.2726729347212894,0.2088695349757112,0.1721799864338482,0.1695399027758501,0.1803116182001343,0.16360107454667563,0.14358015274115196,0.183076561450638,0.18435669680777236,0.258174176395427
MAC000008,0.460265278710544,0.4610832710780669,0.4404398926124916,0.4096981262317835,0.3669858965748824,0.3677598890353921,0.3587662860980524,0.2063425116856951,0.2377092297015961,0.28120617801724135,0.18988619021512837,0.20878710530557423
MAC000009,0.1964445936198791,0.1886877324907063,0.1795063800537273,0.1559014573907009,0.1474056413028878,0.155200418924581,0.1544398925453324,0.13906312968435192,0.1702921584316447,0.1789187375419745,0.510301873351839,0.7376574878441907
MAC000010,0.6011511071188718,0.5733479551672862,0.6006218934184017,0.4757869534351144,0.4871685691739422,0.4615294932685635,0.4643055741437206,0.4846783083948959,0.4858334491325469,0.4895446609805238,0.26905690506592644,0.2926283602822581
MAC000011,0.4131638680322363,0.3816104089962825,0.3805117526527871,0.3252088828591256,0.3272948286098052,0.2791970854961832,0.2220926797179314,0.22341235735392884,0.2308570435808466,0.25226997978509064,0.1338660651630812,0.025787105439892544
MAC000012,0.0388159838817998,0.0208059479553903,0.0499758063844086,0.0701575294934073,0.0257642713230355,0.0232283136710617,0.0310114170584284,0.028265950302216254,0.059224843858431644,0.04708394895903291,0.09059541984732825,0.11267494963062458
MAC000013,0.1372639355271994,0.1256505576208178,0.1208791134989926,0.1090145732130465,0.1015621222296843,0.0805565579458709,0.0870846774193548,0.08549697783747481,0.07855239417071479,0.08416588314304903,0.2245884800832755,0.17485963740765614
MAC000016,0.0305478502080443,0.2367211895167286,0.2042249832102082,0.2141783484385843,0.1926749496306246,0.1874975712005551,0.2008569508394895,0.211928139758227,0.21131783490631503,0.20762390873069175,0.08197224149895906,0.16166420402955003
MAC000018,0.2874976492948287,0.1546654275092936,0.1436816656816655,0.1266141568355308,0.1123223640026863,0.1200582928521859,0.1175433176628609,0.1353378106111484,0.13584038861901457,0.1259905977165883,0.1557404580846634,0.1620147750167898
MAC000019,0.1659905976494291,0.1336557620817844,0.0606057756883814,0.0803754338653712,0.1283243788448623,0.1184409722222222,0.104433848220282,0.1132384149764943,0.12563289382373352,0.1382431161853593,0.5348466340041638,0.5080476830087307
MAC000020,0.1885591397849462,0.526488475613383,0.5240685026192076,0.4942387232477446,0.4492028208193418,0.3929826510062456,0.2550456682337139,0.35751914029550036,0.46206800832755035,0.49864919375,0.28801804302567663,0.4376138347884486
MAC000021,0.5441974476830087,0.4028089220074349,0.386368279704301,0.2705808465648855,0.1241618535930154,0.1128008327550312,0.1160859637340497,0.12750302216252518,0.17435600277585012,0.22917394217595702,0.3339104789035392,0.3222646069845534
MAC000022,0.4118952316991269,0.2908944240892193,0.3684811824596774,0.2582109647467037,0.3030376092008059,0.323111727758501,0.1731108125587642,0.11222565480188046,0.32615336564885494,0.27546406971121556,0.5121984738376127,0.5471229010073875
MAC000023,0.3539019478173271,0.7933903342007435,0.7063069161182001,0.4530229004857737,0.2155151108126259,0.2100471897987508,0.1665708527871054,0.16850100752182673,0.21249271339347675,0.30965480194761585,0.10491533622484385,0.09000738750839489
MAC000024,0.8898716384408601,0.1067565151898734,0.1083532571524513,0.1038999997222222,0.1093707186702484,0.1238147120055517,0.1098568549059139,0.09615312283411685,0.1000263888888889,0.10249764969778374,0.3238584315752949,0.24867427817327065
MAC000025,0.1004818551075268,0.2353474697172619,0.2362271505376344,0.2490321455625437,0.2767347213566152,0.2438327548924358,0.2208245967069892,0.19775957004701142,0.2716439973629424,0.26649563472128945,0.1647897292852186,0.18015177971793148
MAC000026,0.2133310946272666,0.1924743494423791,0.1970805910006715,0.2006585704371964,0.1877783747481531,0.2058424705065926,0.1722397582269979,0.16974345198119542,0.150587786259542,0.15774882471457355,0.06306088180545837,0.07055204828744123
MAC000027,0.1964264608462055,0.1395959821428571,0.1378556077904634,0.0979361554476058,0.0644674278038952,0.0266023594725884,0.0172175957018132,0.01343854936198791,0.01628036079111728,0.05684083044982699,0.2831603051353227,0.27781799852249833
MAC000028,0.1444748153122901,0.0613717472118959,0.0582955003357958,0.0716141569049271,0.0625466756212223,0.0642997918806384,0.0765453325050369,0.05443451981195433,0.05860027758501041,0.06809536601746138,0.3410610684941013,0.3622968420416387
MAC000029,0.0742605775016789,0.3320133831226766,0.2423324378106111,0.2272650938931297,0.2236964404298186,0.1732595419847328,0.2028898648648648,0.1227918065815984,0.21739694607911175,0.2847065143049026,0.163205412907703,0.15358898596373405
MAC000030,0.3123109470114171,0.5092609649070632,0.4992822569892473,0.3099521176266481,0.1398858291470785,0.1005822347675225,0.0975258564137004,0.09932236400268636,0.11841984746703678,0.21011014110141035,0.3280117965995836,0.8377804714478114
MAC000032,0.4679281400940228,0.1651048327881041,0.161690188172043,0.1562886884108258,0.152181329751511,0.1521145037473976,0.1648381464069845,0.14794425789120214,0.15523525336571825,0.15188045668233716,0.47728105489243583,0.6428394898589658
MAC000033,0.1583861652115513,1.1338959118215617,1.1587024873069174,0.7806773072172102,0.2512498320349228,0.1882609299097848,0.1258542646071188,0.13047414372061786,0.13135461478140179,0.1341443922095366,0.0506557945870923,0.05277904633982538
MAC000034,0.8876756188045668,0.6606386620074349,0.7327434511752854,0.4196069442361111,0.2718052386165211,0.3286773076335877,0.3208072534586971,0.3264627268636669,0.3765361113194444,0.38167629261249164,0.0013865371269951422,0.0015433176628609805
MAC000035,0.6584728010073875,0.0521040892193308,0.0506104768300873,0.0532720333102012,0.0570040295500335,0.0570104166666666,0.0615124244459368,0.0635540631296172,0.05693129770992366,0.0541571524513096,0.3936710617626648,0.35898791161853594
