LCLid,average_consumption_2011,average_consumption_2012,average_consumption_2013,average_consumption_2014,average_annual_consumption,average_monthly_consumption,average_monday_consumption_january_2012,average_sunday_consumption_january_2012,average_consumption_period1,average_consumption_period2,average_consumption_period3,average_consumption_period4,average_consumption_autumn,average_consumption_spring,average_consumption_summer,average_consumption_winter,total_consumption_2011,total_consumption_2012,total_consumption_2013,total_consumption_2014,average_total_consumption_per_year,average_total_monday_consumption_january_2012,average_total_sunday_consumption_january_2012,total_consumption_period1,total_consumption_period2,total_consumption_period3,total_consumption_period4,total_consumption_autumn,total_consumption_spring,total_consumption_summer,total_consumption_winter,label,component_1,component_2
MAC004459,0.4940599523230691,0.2992596463601589,0.4244811817479811,0.334899710115144,0.3485905112035084,0.2908338563875537,0.6344445021078808,0.4805484629198751,0.1154352106630507,0.2570869426342887,0.3624113410597449,0.493417407046452,0.35493030871296,0.3247534503177131,0.244513671550384,0.3096693694747347,0.5273753293089863,0.1868450925856348,0.4243842239632054,0.3346592076303217,0.275834631910464,0.6344445021078808,0.4825426488657294,0.1179433222275176,0.2716674696066126,0.3831413543908408,0.5204902528751206,0.3551336139648292,0.3244592229561568,0.4200178317839944,0.3706538128362301,3,1.0719832337770998,0.8366315076603734
MAC004460,0.3574518706366936,0.1656857468680607,0.2401787264998195,0.153324981931866,0.1950245848990462,0.1608538519821008,0.2878480607681986,0.2551588674620532,0.0530984181217153,0.1915387986485256,0.1854493201385059,0.2485596768990373,0.2044169763656818,0.1782741446377704,0.1591648852684036,0.1536904963128096,0.3600160877861678,0.3224684726411269,0.2402747321579682,0.153324981931866,0.2799999117038002,0.2878480607681987,0.2562177288812764,0.0544818748499105,0.2024560554904023,0.1962675652518498,0.2626743214055667,0.2045574852278875,0.1782943342351247,0.2734393559847577,0.1834963433864871,3,0.2266364470545844,0.4068474159550581
MAC004461,0.1053248114595422,0.0763214262059201,0.1086311040572284,0.1129096319221752,0.0890362996904243,0.0741271208989315,0.1033439555563695,0.1289223325533622,0.0311756571303104,0.0964367060485574,0.0826632822769884,0.0970820111931451,0.1032999461692224,0.0745952068476614,0.0779187324585953,0.0719095738355364,0.1060803696479178,0.1785766506467593,0.1086807299613204,0.1129096319221752,0.1394757297469215,0.1033439555563696,0.1294573360410906,0.0322071389674177,0.1022968016882801,0.0879330747271135,0.1031802533306624,0.1033827849392058,0.0746036547759567,0.1338614899321522,0.0859412003461006,2,-0.3621469964899229,0.1102454004910776
MAC004462,0.2567863711777466,0.1720614261530822,0.2803198319462599,0.247061707470207,0.2147056561080517,0.1674100330365864,0.3104877963597249,0.2159832618638713,0.0736194717714701,0.1893272560139912,0.2528366476155138,0.2322263421538682,0.2280727602888482,0.1986078391936257,0.1512383282937308,0.1924623082374161,0.2586284541847607,0.082260243388964,0.280431883044,0.2469729959055857,0.1535870147750627,0.3104877963597249,0.2168795518711926,0.0753323986620326,0.2001266600048431,0.2672645563144773,0.2454766045567068,0.2282556574502667,0.1986303315876454,0.2597924078630107,0.2297277408258701,3,0.2905319522800695,0.3247863591545775
MAC004463,0.1573811488370943,0.1571619694815024,0.2432025688833482,0.1958648552427906,0.1910509958064879,0.1526054102937529,0.2389686494361143,0.2383313561579568,0.0720319269332736,0.1249029633693915,0.1810033526935496,0.2866834733740123,0.1832158522497462,0.1783903404083131,0.1598528036530837,0.1566617346522958,0.1582843405090432,0.185448325136211,0.2433136710162323,0.1958648552427906,0.1996199911459887,0.2389686494361143,0.2393203865629626,0.0737193654320346,0.1322692042618417,0.1916016988806428,0.302815680608047,0.1833627775522721,0.1784307459214294,0.2746211741611431,0.1870253218453534,3,0.1642957161021168,0.2447252095302447
MAC004464,0.3545690005415458,0.2410174140559639,0.3261306089878688,0.2315416395491309,0.2745425183415438,0.2340533065813612,0.3543709828949482,0.3914218452589831,0.1121019657495714,0.1728407333805867,0.2468137520805936,0.4184884429592849,0.3031819106801482,0.2537182432226666,0.1940746381245756,0.2242245979118533,0.3560951224950962,0.1693994095912109,0.3262423485752332,0.2315416395491309,0.2245814950285881,0.3543709828949482,0.3930461724662183,0.1144327377934903,0.1827424069590905,0.2609444864475335,0.4415498934071109,0.3034250397183841,0.2537469768855458,0.3333752611897729,0.2675913682384093,3,0.6033542854066045,0.5086282545581782
MAC004465,0.1504532460343126,0.0984858706422809,0.1616989357062795,0.1019357052211896,0.1233786353174997,0.0956739182069101,0.1515347238022557,0.1414775328235041,0.056894435716897,0.1206579144670718,0.1047592111085579,0.1254728254720469,0.1261132692062631,0.1276059720878384,0.0879466216895798,0.0965741947409804,0.1511008209813757,0.2597835232227655,0.1617266365289793,0.1018991035317027,0.2099476042203428,0.1515347238022557,0.1420646380363613,0.0583326281288943,0.1277440791993291,0.1112335222561369,0.1330313207429786,0.1261710596836173,0.1276348749127735,0.1510719232497387,0.115315845929241,2,-0.2022757101755007,0.1543587754782667
MAC004466,0.3285170324260587,0.1994106552725222,0.2993818116254626,0.1897719722711824,0.2387897885101302,0.1939060536244003,0.4931349393952243,0.3457189833225156,0.0645850536026094,0.1979061977514921,0.2334625619255589,0.3370658817576216,0.2389746628453466,0.2136117881071693,0.1554497755778777,0.2193260318849309,0.3299310225225841,0.1061489681188965,0.2994330990532193,0.1897719722711824,0.1757318824466526,0.4931349393952243,0.3471536522288892,0.0661529308640548,0.2090532527594084,0.2468467624396033,0.355790058788104,0.2390841712256171,0.2136359797026514,0.2670266983288908,0.2616843971021164,3,0.4453637190645848,0.6273801174329611
MAC004468,0.1909542515388433,0.2339153261309503,0.4324504033739802,0.5259381911100709,0.3121342279215121,0.2274154144643759,0.5345295113449545,0.4561749450993563,0.0905666229224773,0.241764711645314,0.3967198490745455,0.4199545579755008,0.3393903873203579,0.3259228817252991,0.1074329732316281,0.3536807592559028,0.1912282174664457,0.2149007149128439,0.4326232650016422,0.5259381911100709,0.2959819415383597,0.5345295113449545,0.4580679855199634,0.0925516401616488,0.2552784149273497,0.4189426054748614,0.4430934372048861,0.3396236720407065,0.3259967034425642,0.1845658568811481,0.4218881646877242,3,0.9754385353916828,0.535496704818808
MAC004469,1.0,0.4497438775861759,0.6096029506987337,0.593510616954464,0.5127264057288812,0.4368886987657377,0.9880318538138048,1.0,0.6609557215320371,0.2564918733970491,0.2134154638316007,0.4771431225435024,0.5076625997283051,0.4726233803924096,0.2832681841371223,0.5458732639123783,1.0,0.252114141835864,0.6098118142039981,0.593510616954464,0.3919222267745595,0.9880318538138044,1.0,0.6720285668179473,0.2707572540395573,0.2256960618026758,0.5031973470599589,0.5080697068652164,0.472676905124051,0.4863687025871753,0.651003851459969,1,1.9813775789810384,1.7420888229973948
